session_id,timestamp,ticker,precio,ma20,ma50,rsi,prob_sube,senal_tf,senal_ml,senal_final,accion_ejecutada,qty,motivo,equity,cash
20260417_190544,2026-04-17 19:05:48,AAPL,271.35,256.44,260.58,74.0,0.4686,VENDER,NO COMPRAR,VENDER,NINGUNA,0,,100013.68,100013.68
20260417_190544,2026-04-17 19:05:48,MSFT,426.30,380.10,392.17,93.2,0.5762,VENDER,COMPRAR,VENDER,NINGUNA,0,,100013.68,100013.68
20260417_190544,2026-04-17 19:05:49,GOOGL,339.52,305.96,307.74,93.6,0.3973,VENDER,NO COMPRAR,VENDER,NINGUNA,0,,100013.68,100013.68
20260417_190544,2026-04-17 19:05:49,AMZN,253.88,221.59,214.31,97.7,0.3927,COMPRAR,NO COMPRAR,ESPERAR,NINGUNA,0,,100013.68,100013.68
20260417_190544,2026-04-17 19:05:50,TSLA,406.21,368.08,390.44,65.9,0.5433,VENDER,COMPRAR,VENDER,NINGUNA,0,,100013.68,100013.68
